Date,Open,High,Low,Close,Adj Close,Volume
2016-09-26,27.986639,28.351513,27.986639,28.650000,28.252899,3366300
2016-09-27,28.252899,28.321928,28.016226,28.459999,28.065531,2654200
2016-09-28,28.095118,28.164146,27.907749,28.420000,28.026089,2419200
2016-09-29,28.060766,28.090492,27.733788,28.010000,27.753603,3234500
2016-09-30,27.813055,28.268845,27.604979,28.350000,28.090492,5711400
2016-10-03,28.110310,28.258936,27.763512,28.209999,27.951773,3278700
2016-10-04,28.021133,28.288662,27.743696,28.030001,27.773422,3714800
2016-10-05,27.813055,27.931957,27.654518,27.959999,27.704062,7863400
2016-10-06,27.803146,29.566853,27.733788,29.330000,29.061520,19351100
2016-10-07,29.269600,29.398409,28.338203,28.860001,28.595823,6674100
2016-10-10,28.566099,28.853445,28.417471,28.770000,28.506647,3126700
2016-10-11,28.526464,28.635458,27.961681,28.559999,28.298571,4082600
2016-10-12,28.239119,28.833628,28.199486,28.930000,28.665184,3225900
2016-10-13,28.536371,28.536371,28.199486,28.650000,28.387747,2701500
2016-10-14,28.506647,28.526464,28.001316,28.719999,28.457104,4812100
2016-10-17,28.546282,28.645367,28.021133,28.309999,28.050858,3633400
2016-10-18,28.209394,28.318386,27.931957,28.209999,27.951773,2151900
2016-10-19,27.951773,28.506647,27.951773,28.719999,28.457104,2971600
2016-10-20,28.694906,28.704815,27.753603,28.290001,28.031042,5520500
2016-10-21,28.001316,28.189577,27.743696,28.080000,27.822964,3789900
2016-10-24,27.941866,28.288662,27.862598,28.270000,28.011225,2986200
2016-10-25,28.090492,28.387747,28.050858,28.590000,28.328295,3303900
2016-10-26,28.100401,28.496738,27.951773,28.430000,28.169760,4847200
2016-10-27,28.169760,28.318386,27.971590,28.290001,28.031042,2499100
2016-10-28,28.130125,28.615639,27.971590,28.750000,28.486832,4040300
2016-10-31,28.496738,28.576008,27.773422,28.290001,28.031042,4692300
2016-11-01,28.130125,28.645367,28.031042,28.660000,28.397655,5641500
2016-11-02,28.407562,28.635458,27.931957,28.510000,28.249027,8303300
2016-11-03,29.229965,29.784840,28.080584,28.459999,28.199486,14852700
2016-11-04,27.743696,29.636211,27.604979,28.930000,28.665184,17367500
2016-11-07,28.774176,29.130880,28.467014,28.940001,28.675093,7043100
2016-11-08,28.427380,28.754360,28.189577,28.889999,28.625547,4460500
2016-11-09,27.902231,29.586672,27.892323,29.680000,29.408318,5190900
2016-11-10,29.368683,30.171270,29.358774,30.080000,29.804655,7360500
2016-11-11,29.834381,30.072186,29.210148,30.299999,30.022642,4110600
2016-11-14,30.042459,31.954790,29.883924,32.029999,31.736805,10318100
2016-11-15,31.697172,32.242138,31.310741,32.240002,31.944883,7028100
2016-11-16,31.647631,31.707081,30.726145,31.059999,30.775684,6071400
2016-11-17,30.547791,30.884680,30.131636,30.940001,30.656784,5217000
2016-11-18,30.656784,31.082850,30.329805,30.959999,30.676600,3329100
2016-11-21,30.666693,30.874769,30.468523,31.000000,30.716236,3556500
